RandomSeed,MAPE,RMSE,R_2
0,0.019435187812385565,0.032862814061493016,0.7087310143883752
1,0.012473325762041111,0.01591263713650149,0.9290633630696179
2,0.012889022685838702,0.01750495219272046,0.9092313604557716
3,0.011634541118743388,0.01677218983562855,0.9132480374764635
4,0.010460987804063132,0.015238994581974547,0.9299438313541589
5,0.010318699202126337,0.013619922549840235,0.9498602084068042
6,0.01132994895909063,0.015830666411125942,0.9301904382050394
7,0.011711843367628413,0.01707267249686687,0.9173240132339827
8,0.01835456261264091,0.019729403813199587,0.8962167595369418
9,0.01621240458463681,0.02408253152584693,0.8189989596375091
10,0.013947206529014093,0.01997020799555254,0.8895926900427256
11,0.010871014456926351,0.01497244449809134,0.930241283468779
12,0.012627683812948213,0.017303056975660046,0.9149537830015608
13,0.013144524976117417,0.017065702792824176,0.9194971913868675
14,0.01007292582723046,0.012990810365674614,0.9509711764338028
15,0.012369128132818596,0.015774888487172754,0.93132338529316
16,0.02047903766454296,0.02326004056918181,0.8337361572944513
17,0.019827105487422704,0.02213680534248923,0.8522912290327419
18,0.011286680731135097,0.015972937454575304,0.9224225244878033
19,0.01166776350817057,0.01484657511039732,0.941406258724169
