RandomSeed,MAPE,RMSE,R_2
0,0.018273060752304917,0.022623970738171982,0.8619544520449767
1,0.020817493965115334,0.022749215253541778,0.855016320941332
2,0.01714671315776511,0.019128258800303742,0.8916160820318242
3,0.01987010273302996,0.022381590370583418,0.8455166581765694
4,0.018356725677771923,0.019917697355719605,0.8803226370581587
5,0.019611631999993086,0.022560331464745755,0.8624298531355505
6,0.01922159998027844,0.020319463498488306,0.884988573267005
7,0.01775965057880328,0.02066802247123192,0.8788358281119163
8,0.021282514524362334,0.022031130118877473,0.870588505107955
9,0.020937392035337465,0.024594503276713232,0.8112213362499856
10,0.018865788347659684,0.02028210800357929,0.8861170170320187
11,0.016619910090029427,0.01831280537780086,0.8956427039868191
12,0.017925161843876457,0.019609145532991184,0.8907738404207992
13,0.01920494299093579,0.020988370305441092,0.8782356618094258
14,0.017680280609447884,0.021786961794953857,0.8620974395226364
15,0.01700136926699347,0.019306769258338855,0.8971283997057439
16,0.018258198480934698,0.020786886607506546,0.8672129349431563
17,0.01917233916318339,0.021062600432426016,0.8662787676429984
18,0.015956181436688765,0.01784374938266651,0.903185971785991
19,0.02195952306643785,0.02285362287367145,0.8611618614016929
