RandomSeed,MAPE,RMSE,R_2
0,0.00976240422594381,0.011883885888576246,0.961910814122368
1,0.011237296670243103,0.014078482145695558,0.9444738010514173
2,0.011737460848115278,0.014209215945670033,0.9401926999151797
3,0.012009083197736387,0.01560514238327825,0.9249008120794469
4,0.010716798272217377,0.015455428917630642,0.927939731330362
5,0.010747340991836413,0.014775983937318386,0.9409872206589744
6,0.011910294569090485,0.015440096263982123,0.933592592735537
7,0.011670335721293376,0.014055904394141162,0.9439605379929469
8,0.012472916007775461,0.014009478258283569,0.9476709047365598
9,0.01141840631162475,0.016605581141853926,0.9139432472676832
10,0.011136995048018792,0.01389849983311862,0.9465228191493178
11,0.011107599632320239,0.013069788239484743,0.9468442610424398
12,0.010900966813313989,0.013113704793135842,0.9511504991569802
13,0.010194851859172143,0.012903209863855679,0.9539787724758062
14,0.010428761152016963,0.01368105712369333,0.9456226174866224
15,0.012214260044543353,0.015393684504193055,0.9346024548735513
16,0.011550371609363596,0.015410114231359264,0.9270225651158424
17,0.011439583800298034,0.013231544077432931,0.947228741922411
18,0.010882644186014648,0.015264768382881388,0.929148916080975
19,0.012785782913270505,0.017631450950221967,0.9173629555352514
