RandomSeed,MAPE,RMSE,R_2
0,0.010163858944613068,0.011784322559725642,0.9625463638519356
1,0.010766332154160339,0.011951140374616212,0.9599866446438747
2,0.00993322025970145,0.011481871920638697,0.960948352160913
3,0.011245081870143114,0.012993471241047898,0.9479344873754291
4,0.011327135295159114,0.013541084766963982,0.9446852866141514
5,0.011321897250905965,0.012408914074759358,0.9583801219659439
6,0.010279774579208157,0.011556676086940184,0.9627966199318544
7,0.010774447431570498,0.012871714590413148,0.9530052686640655
8,0.012402965889087555,0.013093861332917322,0.9542875205982746
9,0.01145388771100346,0.01278540080944186,0.9489841072814784
10,0.011667894724622641,0.013347047747740431,0.9506822698028123
11,0.011508085677275919,0.012320953213734099,0.9527608934881848
12,0.011166319895348215,0.012126160792265174,0.9582308180323273
13,0.012716041566647702,0.014252225056032674,0.9438528107844197
14,0.010232183843004877,0.01203115875564644,0.9579472984223744
15,0.01312434292862672,0.015195237989216659,0.9362777215080533
16,0.010684019451461456,0.012794714376474234,0.9496918822595874
17,0.012355797091965506,0.014547110504134078,0.9362133391517566
18,0.009886039034436462,0.012034052499157255,0.9559658249753249
19,0.012101573698776034,0.013965011703289034,0.9481580561270864
